SMZ,State,Percent TEA,Percent PFA,Old METRO,New METRO,Balt METRO,New Balt,Existing Light Rail,New Light Rail,Existing Commuter Rail,New Commuter Rail,New Interchanges,Accessibility,Town,Town_adjacent
69,24,0,99.99999539,0,0,0,1,1,1,1,0,0,355190.0979,0,0
70,24,0,99.99999862,0,0,1,0,0,0,0,0,0,19886.49119,0,0
71,24,0,99.53339346,0,0,1,0,0,1,0,0,0,102063.9932,0,0
72,24,0,100.0000009,0,0,0,0,0,0,0,0,0,63251.48198,0,0
73,24,0,100.0000027,0,0,1,0,0,0,0,0,0,25501.48899,0,0
74,24,0,99.99999953,0,0,0,1,0,0,0,0,0,15628.13435,0,0
75,24,0,99.99999776,0,0,0,0,0,0,0,0,0,891.553472,0,0
76,24,0,100,0,0,0,1,0,0,0,0,0,801.905944,0,0
77,24,0,100.0000042,0,0,0,1,0,0,0,0,0,6383.239329,0,0
78,24,0,100.0000027,0,0,0,0,0,0,0,0,0,3487.834575,0,0
79,24,0,100.0000001,0,0,0,0,0,0,0,0,0,13523.27964,0,0
80,24,0,99.99999961,0,0,0,0,0,0,0,0,0,14498.6851,0,0
81,24,0,99.99999923,0,0,0,1,1,1,1,0,0,39136.99102,0,0
82,24,0,99.71816753,0,0,0,0,0,1,0,0,0,11894.83193,0,0
83,24,0,99.9999998,0,0,0,0,0,0,0,0,0,81583.97472,0,0
84,24,0,99.99999913,0,0,0,0,0,0,0,0,0,22184.99941,0,0
85,24,0,99.15422977,0,0,0,0,0,1,0,0,0,89566.31196,0,0
86,24,0,99.99999925,0,0,0,1,0,0,0,0,0,1287.109309,0,0
87,24,0,99.99999746,0,0,0,0,0,1,0,0,0,73030.87911,0,0
88,24,0,99.99999961,0,0,0,1,0,0,0,0,0,842.981143,0,0
89,24,0,100.0000025,0,0,0,1,0,0,0,0,0,3395.357376,0,0
90,24,0,99.99999855,0,0,0,0,0,1,0,0,0,1792.468352,0,0
91,24,0,100.0000016,0,0,0,0,0,1,0,0,0,376.977884,0,0
92,24,0,99.86133723,0,0,0,0,0,0,0,0,0,0.413287,0,0
93,24,0,99.27074947,0,0,0,0,0,1,0,0,0,0.164846,0,0
94,24,0,100.0000022,0,0,0,1,0,1,0,0,0,806.870257,0,0
95,24,0,100.000001,0,0,0,0,0,0,0,0,0,45.626338,0,0
96,24,0,100.000001,0,0,0,1,0,0,0,0,0,4.056963,0,0
97,24,0,99.99999844,0,0,0,0,0,0,0,0,0,1867.561516,0,0
98,24,0,100.0000017,0,0,0,0,0,0,0,0,0,2512.153556,0,0
99,24,0,99.99999548,0,0,0,1,1,0,0,0,0,197482.7802,0,0
100,24,0,100.0000004,0,0,0,0,0,0,0,0,0,11710.33337,0,0
101,24,0,100.0000004,0,0,0,0,0,0,0,0,0,1167.057914,0,0
102,24,0,100.0000024,0,0,0,0,0,0,0,0,0,52939.72373,0,0
103,24,0,99.99484556,0,0,0,0,0,0,0,0,0,157.888124,0,0
104,24,0,99.94408522,0,0,0,0,0,0,0,0,0,188.25882,0,0
105,24,0,97.35541778,0,0,0,0,0,0,0,0,0,2603.091427,0,0
106,24,0,99.22202202,0,0,0,1,1,0,0,0,0,8523.86978,0,0
107,24,0,99.59028064,0,0,0,0,1,0,0,0,0,3512.703614,0,0
108,24,0,99.89035476,0,0,0,0,0,0,0,0,0,38.616848,0,0
109,24,0,99.50116746,0,0,0,0,0,0,0,0,0,0.012979,0,0
110,24,0,99.52639256,0,0,0,0,0,0,0,0,0,15.735679,0,0
111,24,0,99.97171519,0,0,0,0,0,0,0,0,0,4.059866,0,0
112,24,0,99.91463423,0,0,0,0,0,0,0,0,0,1.954771,0,0
113,24,0,91.40210303,0,0,0,0,1,0,0,0,0,416.084741,0,0
114,24,0,97.0659826,0,0,0,0,1,0,0,0,0,472.02453,0,0
115,24,0,100.0000005,0,0,0,0,1,0,0,0,0,502.984988,0,0
116,24,0,99.24563538,0,0,0,0,1,0,0,0,0,171.03165,0,0
