"","inf.cap","access.beta","operating.cost","dist.to.wrk","val.of.access","tr.times","policy","core.hh","inner.hh","outer.hh","beyond.hh","env.area.hh","high.access.hh","cost.burdened.hh","median.hh.price"
"18",0.378152237558505,0.203300665296614,0.781382387496764,0.284199468548875,0.828843204752309,1,"baseline",881784,2393014,579099,1837142,350325,313247,1166040,721
"19",0.0146833212312777,0.265550555258291,0.180120808805805,0.151730977173662,0.917404349791585,0,"baseline",843766,2362848,602516,1894725,354460,298546,1179111,716
"20",0.516893006556435,0.330933463417925,0.175820432700217,0.795458051449852,0.400898484825855,0,"baseline",828874,2358047,623050,1918502,364837,292260,1177999,689
"21",0.621700347830774,0.225071553325746,0.557519886878086,0.154695381519618,0.749719801156316,0,"baseline",829540,2408002,596490,1881637,359602,294095,1168953,708
"22",0.353994463213254,0.238379887037678,0.260957237668801,0.490584166054614,0.376321007711114,1,"baseline",867682,2391026,586709,1846445,352110,306474,1170348,721
"23",0.350134987444384,0.642732696560677,0.450273812341737,0.807976882553427,0.661372449159622,0,"baseline",835095,2345949,625374,1917301,362637,294806,1181060,701
"24",0.574217547838576,0.894888294565957,0.913959741576109,0.431181900812546,0.0379669088535011,1,"baseline",854032,2409318,583997,1845957,352843,301104,1166639,722
"25",0.464115949960425,0.576052591406042,0.548447265118361,0.863293712766375,0.802399085849756,1,"baseline",868457,2388645,605071,1857904,355756,307901,1179912,714
"26",0.270984369464917,0.770001910712337,0.928493666440714,0.377360887944931,0.0662638747605961,1,"baseline",861454,2384123,585270,1852458,351074,302939,1166993,724
"27",0.194855214308016,0.117557596645551,0.754174281557556,0.13618158657942,0.338163597623585,1,"baseline",872727,2377838,575013,1848526,347694,308071,1164966,712
"28",0.30091780299833,0.125425121857785,0.318505234141834,0.828782588947797,0.856734260602389,0,"baseline",847465,2341512,625778,1912197,361282,299572,1186356,705
"29",0.834957628969802,0.470677803740138,0.917412508244626,0.642415420495439,0.187103356841486,1,"baseline",851363,2429521,591644,1844858,356805,300838,1171479,712
"30",0.571591654536082,0.0939046272437554,0.74730753786955,0.543675971989753,0.745735802229959,1,"baseline",874899,2409078,588369,1838695,354347,310821,1170959,717
"31",0.087604003484128,0.185470313088736,0.672154890748905,0.506003701341571,0.758926947171334,0,"baseline",846603,2344948,614942,1904819,357953,299438,1181423,713
"32",0.576226437513949,0.675862200560514,0.292363490638323,0.459489985575667,0.699947236634092,1,"baseline",869056,2409444,584500,1838627,353646,308601,1172805,720
"33",0.0779084828298073,0.979134245492052,0.937297349142842,0.278226792799775,0.655155072540976,0,"baseline",837094,2362913,606127,1902565,355511,295208,1177789,711
"34",0.732865049017128,0.273033218783559,0.0418969739959575,0.342846695490647,0.07569177084486,0,"baseline",816867,2403923,601184,1896119,362231,288031,1168069,703
"35",0.262151213102974,0.575335899611702,0.0155405530477874,0.437284992676927,0.263429799321573,1,"baseline",868537,2383397,586790,1850309,350955,306303,1170901,724
"36",0.654685390213272,0.670012351332232,0.063818394437898,0.700112453321926,0.0993239873074926,0,"baseline",819420,2376588,616720,1910050,364624,288660,1174521,683
"37",0.932830019311281,0.956008521170355,0.664894528293516,0.427530225597788,0.084326976994751,0,"baseline",812612,2413300,605262,1894837,364894,286816,1167075,693
"38",0.319864014130319,0.466657493957551,0.718882154174382,0.187081786161521,0.371014028256061,0,"baseline",824511,2386120,598728,1897762,357202,290553,1173409,710
"39",0.791320541796042,0.948285789218498,0.878145073055057,0.814434888785705,0.328878842318663,1,"baseline",851952,2416186,599916,1852966,358109,300871,1173820,715
"40",0.685754641007166,0.853800039710011,0.171206386574311,0.812274365730351,0.870625541141024,0,"baseline",833991,2372736,623967,1905975,364411,295980,1180279,704
"41",0.661165994961746,0.356894688707776,0.382778464655159,0.618058036455652,0.214626516185235,1,"baseline",856476,2416429,591025,1848138,356262,302302,1169704,715
